2021,Wendell Carter Jr.,C,21,ORL,22,19,26.5,4.6,9.3,0.493,0.3,1.3,0.241,4.3,8,0.534,0.51,2.2,3.1,0.721,2.8,6,8.8,1.6,0.8,0.8,1.3,2.3,11.7,0,0,0,0,0,0,0,0,0,0
2021,Michael Carter-Williams,SG,29,ORL,31,25,25.8,3.4,8.7,0.389,0.5,2,0.246,2.9,6.7,0.431,0.417,1.6,2.6,0.613,1.3,3.2,4.5,4.2,0.8,0.5,2.2,2.6,8.8,0,0,0,0,0,0,0,0,0,0
2021,Alex Caruso,PG,26,LAL,58,6,21,2.3,5.3,0.436,0.9,2.4,0.401,1.3,2.9,0.464,0.526,0.8,1.3,0.645,0.5,2.4,2.9,2.8,1.1,0.3,1.3,1.9,6.4,0,0,0,0,0,0,0,0,0,0
2021,Willie Cauley-Stein,C,27,DAL,53,16,17.1,2.2,3.4,0.632,0,0.2,0.091,2.2,3.2,0.667,0.635,0.9,1.5,0.628,1.2,3.2,4.5,0.7,0.4,0.8,0.5,2.4,5.3,0,0,0,0,0,0,0,0,0,0
2021,Chris Chiozza,PG,25,BRK,22,1,10.5,1.4,4,0.352,0.6,1.9,0.31,0.8,2.1,0.391,0.426,0.6,0.8,0.765,0.1,1,1.1,3,0.3,0.3,0.7,0.9,4,0,0,0,0,0,0,0,0,0,0
2021,Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7,0.357,0.5,2.5,0.2,2,4.5,0.444,0.393,1,2,0.5,1.5,5,6.5,1,0,1,1,1.5,6.5,0,0,0,0,0,0,0,0,0,0
2021,Gary Clark,SF,26,ORL,35,11,18.2,1.1,3.7,0.305,0.9,3.1,0.287,0.3,0.7,0.391,0.424,0.2,0.3,0.8,0.9,2.3,3.2,0.9,0.3,0.2,0.5,1,3.4,0,0,0,0,0,0,0,0,0,0
2021,Gary Clark,SF,26,DEN,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gary Clark,PF,26,PHI,2,0,6.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,1,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
2021,Brandon Clarke,PF,24,MEM,59,16,24,4.3,8.4,0.517,0.3,1.3,0.26,4,7.1,0.565,0.537,1.3,1.9,0.69,1.6,3.9,5.6,1.6,1,0.9,0.6,1.4,10.3,0,0,0,0,0,0,0,0,0,0
2021,Jordan Clarkson,SG,28,UTA,68,1,26.7,6.7,15.8,0.425,3.1,8.8,0.347,3.7,7,0.523,0.522,1.9,2.1,0.896,0.7,3.3,4,2.5,0.9,0.1,1.7,1.6,18.4,0,0,0,0,0,0,0,0,0,0
2021,Nic Claxton,C,21,BRK,32,1,18.6,2.8,4.5,0.621,0,0.2,0.2,2.8,4.4,0.636,0.624,1,2,0.484,1.3,3.8,5.2,0.9,0.7,1.3,0.6,2.1,6.6,0,0,0,0,0,0,0,0,0,0
2021,Amir Coffey,SG,23,LAC,44,1,9,1,2.3,0.437,0.5,1.3,0.411,0.5,1.1,0.468,0.549,0.6,0.9,0.711,0.2,0.8,1,0.5,0.2,0,0.3,0.7,3.2,0,0,0,0,0,0,0,0,0,0
2021,John Collins,PF,23,ATL,63,63,29.3,6.8,12.2,0.556,1.3,3.3,0.399,5.5,8.9,0.615,0.61,2.7,3.2,0.833,1.9,5.5,7.4,1.2,0.5,1,1.3,3.1,17.6,0,0,0,0,0,0,0,0,0,0
2021,Mike Conley,PG,33,UTA,51,51,29.4,5.6,12.5,0.444,2.7,6.6,0.412,2.9,6,0.479,0.552,2.4,2.8,0.852,0.7,2.8,3.5,6,1.4,0.2,1.9,1.9,16.2,0,0,0,0,0,0,0,1,0,0
2021,Pat Connaughton,SG,28,MIL,69,4,22.8,2.4,5.6,0.434,1.5,3.9,0.371,1,1.7,0.583,0.565,0.4,0.6,0.775,0.9,3.9,4.8,1.2,0.7,0.3,0.5,1.4,6.8,0,0,0,0,0,0,0,0,0,0
2021,Quinn Cook,PG,27,LAL,16,0,3.9,0.8,1.6,0.462,0.3,0.8,0.385,0.4,0.8,0.538,0.558,0.3,0.3,0.8,0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1,0,0,0,0,0,0,0,0,0,0
2021,Quinn Cook,PG,27,CLE,7,0,13.6,2.4,6,0.405,0.9,1.9,0.462,1.6,4.1,0.379,0.476,0.4,0.4,1,0.3,1.4,1.7,1.9,0.4,0,0.6,1.1,6.1,0,0,0,0,0,0,0,0,0,0
2021,Tyler Cook,PF,23,BRK,4,0,4.3,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0,0,,0.3,0.3,0.5,0.5,0,0,0.3,0.5,0.5,0,0,0,0,0,0,0,0,0,0
2021,Tyler Cook,SF,23,DET,28,1,15,2.4,3.6,0.68,0,0.1,0.5,2.4,3.5,0.684,0.685,0.6,1.3,0.486,1,2.4,3.3,0.5,0.3,0.1,0.7,1.2,5.5,0,0,0,0,0,0,0,0,0,0
2021,DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3,9.6,0,0,0,0,0,0,0,0,0,0
2021,DeMarcus Cousins,C,30,LAC,16,0,12.9,3.2,5.9,0.537,0.5,1.2,0.421,2.7,4.8,0.566,0.579,0.9,1.4,0.682,1.4,3.1,4.5,1,0.8,0.4,1.6,2.1,7.8,0,0,0,0,0,0,0,0,0,0
2021,Robert Covington,PF,30,POR,70,70,32,2.9,7.3,0.401,1.9,5.1,0.379,1,2.2,0.451,0.533,0.7,0.9,0.806,0.9,5.8,6.7,1.7,1.4,1.2,0.9,2.8,8.5,0,0,0,0,0,0,0,0,0,0
2021,Torrey Craig,SF,30,MIL,18,0,11.2,1,2.6,0.391,0.4,1.2,0.364,0.6,1.3,0.417,0.478,0.1,0.1,0.5,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5,0,0,0,0,0,0,0,0,0,0
2021,Torrey Craig,SF,30,PHO,32,8,18.8,2.8,5.7,0.503,1,2.6,0.369,1.9,3,0.619,0.588,0.5,0.6,0.8,1.4,3.4,4.8,1,0.6,0.6,0.6,1.8,7.2,0,0,0,0,0,0,0,0,0,0
2021,Jae Crowder,PF,30,PHO,60,42,27.5,3.3,8.2,0.404,2.5,6.3,0.389,0.9,1.9,0.455,0.555,1,1.3,0.76,0.5,4.2,4.7,2.1,0.8,0.5,0.9,2.1,10.1,0,0,0,0,0,0,0,0,0,0
2021,Jarrett Culver,SG,21,MIN,34,7,14.7,2,4.9,0.411,0.4,1.6,0.245,1.6,3.4,0.487,0.449,0.9,1.4,0.604,1,2.1,3.1,0.7,0.5,0.3,0.8,1.7,5.3,0,0,0,0,0,0,0,0,0,0
2021,Seth Curry,SG,30,PHI,57,57,28.7,4.5,9.7,0.467,2.2,4.9,0.45,2.3,4.8,0.485,0.582,1.2,1.4,0.896,0.2,2.2,2.4,2.7,0.8,0.1,1.1,1.7,12.5,0,0,0,0,0,0,0,0,0,0
2021,Stephen Curry,PG,32,GSW,63,63,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.1,9,0.569,0.605,5.7,6.3,0.916,0.5,5,5.5,5.8,1.2,0.1,3.4,1.9,32,1,0,0,0,0,0,0,0,1,1
2021,Nate Darling,SG,22,CHO,7,0,3.7,0.3,1,0.286,0.3,1,0.286,0,0,,0.429,0.4,0.4,1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,1.3,0,0,0,0,0,0,0,0,0,0
2021,Anthony Davis,PF,27,LAL,36,36,32.3,8.4,17,0.491,0.7,2.8,0.26,7.6,14.3,0.536,0.512,4.4,5.9,0.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,1.7,21.8,0,0,0,0,0,0,0,1,0,0
2021,Ed Davis,C,31,MIN,23,7,13,0.8,1.9,0.432,0,0,,0.8,1.9,0.432,0.432,0.4,0.5,0.833,2,3,5,0.9,0.6,0.6,0.3,2.4,2.1,0,0,0,0,0,0,0,0,0,0
2021,Terence Davis,SG,23,TOR,34,4,14.5,2.6,6.2,0.414,1.3,3.6,0.361,1.3,2.6,0.489,0.519,0.5,0.5,0.889,0.3,1.7,1.9,1.1,0.5,0.2,0.9,1.4,6.9,0,0,0,0,0,0,0,0,0,0
2021,Terence Davis,SG,23,SAC,27,0,21.5,4,9.1,0.439,2,5.4,0.372,2,3.7,0.535,0.549,1.1,1.4,0.784,0.4,2.9,3.3,1.7,1,0.3,1.3,1.8,11.1,0,0,0,0,0,0,0,0,0,0
2021,Gabriel Deck,PF,25,OKC,10,0,21.2,3.2,6.7,0.478,0.2,1.5,0.133,3,5.2,0.577,0.493,1.8,2.2,0.818,1.6,2.4,4,2.4,0.8,0,0.6,0.9,8.4,0,0,0,0,0,0,0,0,0,0
2021,Dewayne Dedmon,C,31,MIA,16,0,13.1,2.9,4.1,0.708,0.1,0.3,0.2,2.8,3.8,0.75,0.715,1.3,1.7,0.741,1.8,3.6,5.4,0.8,0.6,0.4,0.8,2.3,7.1,0,0,0,0,0,0,0,0,0,0
2021,Matthew Dellavedova,PG,30,CLE,13,1,17.2,1.1,4.3,0.25,0.3,1.9,0.16,0.8,2.4,0.323,0.286,0.3,0.3,1,0.5,1.4,1.8,4.5,0.3,0.1,0.5,1.6,2.8,0,0,0,0,0,0,0,0,0,0
2021,DeMar DeRozan,PF,31,SAS,61,61,33.7,7.5,15.1,0.495,0.3,1.2,0.257,7.1,13.9,0.515,0.505,6.3,7.2,0.88,0.7,3.6,4.2,6.9,0.9,0.2,2,2.1,21.6,0,0,0,0,0,0,0,0,0,0
2021,Mamadi Diakite,PF,24,MIL,14,1,10.1,1.1,2.9,0.4,0.1,0.6,0.125,1.1,2.3,0.469,0.413,0.8,1,0.786,0.6,1.9,2.4,0.6,0.5,0.4,0.2,1.1,3.1,0,0,0,0,0,0,0,0,0,0
2021,Hamidou Diallo,SG,22,OKC,32,5,23.8,4.5,9.3,0.481,0.4,1.3,0.293,4.1,8,0.512,0.502,2.6,4.1,0.629,1.2,4,5.2,2.4,1,0.4,1.5,2.6,11.9,0,0,0,0,0,0,0,0,0,0
2021,Hamidou Diallo,SF,22,DET,20,4,23.3,4.1,8.7,0.468,0.8,2.1,0.39,3.3,6.6,0.492,0.514,2.3,3.4,0.662,1.1,4.3,5.4,1.2,0.5,0.6,1.4,2.6,11.2,0,0,0,0,0,0,0,0,0,0
2021,Gorgui Dieng,C,31,MEM,22,1,16.9,2.5,4.9,0.519,1,2.2,0.479,1.5,2.7,0.55,0.625,1.7,2,0.884,1.3,3.2,4.5,1.3,0.8,0.6,1,1.7,7.9,0,0,0,0,0,0,0,0,0,0
2021,Gorgui Dieng,C,31,SAS,16,0,11.3,1.8,3.4,0.527,0.4,1.4,0.318,1.4,2.1,0.667,0.591,1.3,1.5,0.833,0.8,1.9,2.6,1.2,0.6,0.1,0.6,1.1,5.3,0,0,0,0,0,0,0,0,0,0
2021,Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2,5.3,0.375,0.7,2.3,0.286,1.3,3,0.444,0.438,2,2,1,0,4.3,4.3,3,0.7,0.3,1.7,1.3,6.7,0,0,0,0,0,0,0,0,0,0
2021,Donte DiVincenzo,SG,24,MIL,66,66,27.5,3.8,9.1,0.42,2,5.2,0.379,1.8,3.9,0.475,0.528,0.8,1.1,0.718,1.2,4.5,5.8,3.1,1.1,0.2,1.4,1.7,10.4,0,0,0,0,0,0,0,0,0,0
2021,Luka Dončić,PG,21,DAL,66,66,34.3,9.8,20.5,0.479,2.9,8.3,0.35,6.9,12.2,0.567,0.55,5.2,7.1,0.73,0.8,7.2,8,8.6,1,0.5,4.3,2.3,27.7,1,0,0,0,0,0,0,0,1,1
2021,Luguentz Dort,SG,21,OKC,52,52,29.7,4.8,12.3,0.387,2.2,6.3,0.343,2.6,6,0.432,0.475,2.3,3.2,0.744,0.7,2.9,3.6,1.7,0.9,0.4,1.5,2.6,14,0,0,0,0,0,0,0,0,0,0
2021,Damyean Dotson,SG,26,CLE,46,7,19.7,2.6,6.4,0.406,1,3.5,0.289,1.6,2.9,0.545,0.485,0.5,0.8,0.667,0.1,1.9,2,2,0.3,0.1,0.9,0.9,6.7,0,0,0,0,0,0,0,0,0,0
2021,Devon Dotson,PG,21,CHI,11,0,4.5,1,1.9,0.524,0.1,0.6,0.143,0.9,1.3,0.714,0.548,0,0,,0.2,0.3,0.5,0.6,0.4,0,0,0.3,2.1,0,0,0,0,0,0,0,0,0,0
2021,Sekou Doumbouya,PF,20,DET,56,11,15.5,1.9,5,0.379,0.5,2.1,0.226,1.4,3,0.485,0.426,0.8,1.1,0.703,0.7,1.9,2.6,0.8,0.4,0.2,0.8,1.7,5.1,0,0,0,0,0,0,0,0,0,0
2021,PJ Dozier,SG,24,DEN,50,6,21.8,3,7.1,0.417,0.9,3,0.315,2,4.1,0.49,0.483,0.8,1.3,0.636,0.7,2.9,3.6,1.8,0.6,0.4,0.9,1.7,7.7,0,0,0,0,0,0,0,0,0,0
2021,Goran Dragić,PG,34,MIA,50,11,26.7,4.8,11.1,0.432,1.8,4.9,0.373,3,6.2,0.479,0.514,2,2.4,0.828,0.5,2.9,3.4,4.4,0.7,0.2,2.4,2.3,13.4,0,0,0,0,0,0,0,0,0,0
2021,Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,0.474,0,0.3,0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5,0,0,0,0,0,0,0,0,0,0
2021,Andre Drummond,C,27,LAL,21,21,24.8,4.9,9.1,0.531,0,0,,4.9,9.1,0.531,0.531,2.2,3.6,0.605,3.1,7.1,10.2,1.4,1.1,1,2,3.8,11.9,0,0,0,0,0,0,0,0,0,0
2021,Jared Dudley,PF,35,LAL,12,0,6.8,0.2,0.8,0.222,0.2,0.5,0.333,0,0.3,0,0.333,0,0,,0.3,1.4,1.8,0.4,0.1,0.1,0.2,0.6,0.5,0,0,0,0,0,0,0,0,0,0
2021,Kris Dunn,PG,26,ATL,4,0,11.3,0.3,3,0.083,0,0.5,0,0.3,2.5,0.1,0.083,0.8,1,0.75,0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3,0,0,0,0,0,0,0,0,0,0
2021,Kevin Durant,PF,32,BRK,35,32,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.8,11.8,0.577,0.608,6,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2,26.9,0,0,0,0,0,0,0,1,0,0
2021,Anthony Edwards,SG,19,MIN,72,55,32.1,7,16.8,0.417,2.4,7.2,0.329,4.6,9.6,0.483,0.488,2.9,3.8,0.776,0.8,3.8,4.7,2.9,1.1,0.5,2.2,1.8,19.3,0,0,0,0,0,1,0,0,0,6
2021,Carsen Edwards,SG,22,BOS,31,1,8.9,1.5,3.6,0.423,0.6,2,0.286,0.9,1.5,0.604,0.505,0.4,0.4,0.846,0.1,0.7,0.8,0.5,0.2,0,0.2,0.8,4,0,0,0,0,0,0,0,0,0,0
2021,CJ Elleby,SF,20,POR,30,0,6.4,0.8,2.2,0.379,0.2,1.1,0.206,0.6,1.1,0.563,0.432,0.4,0.5,0.733,0.4,0.7,1.1,0.3,0.2,0.1,0.2,0.9,2.3,0,0,0,0,0,0,0,0,0,0
2021,Henry Ellenson,PF,24,TOR,2,0,19,2.5,7,0.357,1,4.5,0.222,1.5,2.5,0.6,0.429,1.5,2,0.75,1.5,4.5,6,2.5,0,0,0,3.5,7.5,0,0,0,0,0,0,0,0,0,0
2021,Wayne Ellington,SG,33,DET,46,31,22,3.2,7.3,0.441,2.5,6,0.422,0.7,1.4,0.524,0.612,0.6,0.8,0.8,0.3,1.6,1.8,1.5,0.4,0.2,0.7,1.3,9.6,0,0,0,0,0,0,0,0,0,0
2021,Joel Embiid,C,26,PHI,51,51,31.1,9,17.6,0.513,1.1,3,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1,1.4,3.1,2.4,28.5,0,1,0,0,1,0,0,1,0,2
2021,James Ennis III,SF,30,ORL,41,37,24,2.8,5.9,0.473,1.1,2.5,0.433,1.7,3.4,0.504,0.566,1.7,2.1,0.805,1,3,4,1.5,0.8,0.2,0.9,2,8.4,0,0,0,0,0,0,0,0,0,0
2021,Drew Eubanks,C,23,SAS,54,3,14,2.1,3.8,0.566,0,0,1,2.1,3.8,0.562,0.571,1.4,2,0.726,1.4,3.1,4.5,0.8,0.3,0.9,0.8,1.6,5.8,0,0,0,0,0,0,0,0,0,0
2021,Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,0.385,0.3,1.8,0.182,1.3,2.5,0.533,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8,0,0,0,0,0,0,0,0,0,0
2021,Tacko Fall,C,25,BOS,19,0,7.2,1.1,1.5,0.724,0,0,,1.1,1.5,0.724,0.724,0.3,0.8,0.333,0.8,1.9,2.7,0.2,0.1,1.1,0.3,1.2,2.5,0,0,0,0,0,0,0,0,0,0
2021,Derrick Favors,C,29,UTA,68,0,15.3,2.3,3.6,0.638,0,0,0,2.3,3.5,0.643,0.638,0.9,1.2,0.738,2,3.5,5.5,0.6,0.5,1,0.5,2.1,5.4,0,0,0,0,0,0,0,0,0,0
2021,Cristiano Felício,C,28,CHI,18,0,4.7,0.4,0.7,0.538,0,0.1,0,0.4,0.6,0.636,0.538,0.5,0.9,0.563,0.6,0.9,1.4,0.5,0.2,0,0.2,0.6,1.3,0,0,0,0,0,0,0,0,0,0
2021,Terrance Ferguson,SG,22,PHI,13,0,3.8,0.1,0.5,0.143,0,0.4,0,0.1,0.2,0.5,0.143,0,0,,0,0.1,0.1,0.2,0.1,0,0.3,0.5,0.2,0,0,0,0,0,0,0,0,0,0
2021,Bruno Fernando,C,22,ATL,33,0,6.8,0.5,1.3,0.409,0,0.1,0,0.5,1.3,0.429,0.409,0.5,0.7,0.682,0.5,1.9,2.4,0.3,0.1,0.1,0.6,0.7,1.5,0,0,0,0,0,0,0,0,0,0
2021,Yogi Ferrell,PG,27,CLE,2,0,20,4,10.5,0.381,1.5,4.5,0.333,2.5,6,0.417,0.452,0,1,0,1.5,2,3.5,2.5,1.5,0.5,1.5,2,9.5,0,0,0,0,0,0,0,0,0,0
2021,Yogi Ferrell,PG,27,LAC,8,0,12,1.5,4.5,0.333,0.8,2.4,0.316,0.8,2.1,0.353,0.417,0.9,0.9,1,0.3,1.3,1.5,2.1,0.5,0.3,0,0.9,4.6,0,0,0,0,0,0,0,0,0,0
2021,Dorian Finney-Smith,PF,27,DAL,60,60,32,3.7,7.8,0.472,2,5,0.394,1.7,2.7,0.616,0.6,0.5,0.7,0.756,1.6,3.8,5.4,1.7,0.9,0.4,0.8,2.3,9.8,0,0,0,0,0,0,0,0,0,0
2021,Malik Fitts,PF,23,LAC,3,0,3.7,0.3,1,0.333,0.3,0.7,0.5,0,0.3,0,0.5,0,0,,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021,Malachi Flynn,PG,22,TOR,47,14,19.7,2.7,7.2,0.374,1.1,3.6,0.321,1.6,3.7,0.424,0.453,1,1.2,0.804,0.2,2.3,2.5,2.9,0.8,0.1,0.9,1.4,7.5,0,0,0,0,0,0,0,0,0,0
2021,Bryn Forbes,SG,27,MIL,70,10,19.3,3.6,7.6,0.473,2.2,4.9,0.452,1.4,2.7,0.511,0.618,0.7,0.9,0.77,0.2,1.4,1.6,0.6,0.3,0,0.6,1.1,10,0,0,0,0,0,0,0,0,0,0
2021,Trent Forrest,PG,22,UTA,30,0,10.1,1.1,2.4,0.451,0.2,0.9,0.192,0.9,1.5,0.6,0.486,0.6,0.6,1,0.4,1.1,1.5,1.5,0.3,0.1,0.7,0.7,2.9,0,0,0,0,0,0,0,0,0,0
2021,Evan Fournier,SF,28,ORL,26,26,30.3,6.5,14.2,0.461,2.8,7.2,0.388,3.7,7,0.536,0.56,3.8,4.7,0.797,0.2,2.7,2.9,3.7,1,0.3,2.1,2.1,19.7,0,0,0,0,0,0,0,0,0,0
2021,Evan Fournier,SG,28,BOS,16,10,29.5,4.8,10.8,0.448,2.8,5.9,0.463,2.1,4.8,0.429,0.576,0.6,0.9,0.714,0.3,3,3.3,3.1,1.3,0.6,1.2,2.6,13,0,0,0,0,0,0,0,0,0,0
2021,De'Aaron Fox,PG,23,SAC,58,58,35.1,9.1,19.1,0.477,1.8,5.5,0.322,7.3,13.6,0.539,0.523,5.2,7.2,0.719,0.6,2.9,3.5,7.2,1.5,0.5,3,2.9,25.2,0,0,0,0,0,0,0,0,0,0
2021,Robert Franks,PF,24,ORL,7,0,14.4,1.9,4,0.464,0.7,2.1,0.333,1.1,1.9,0.615,0.554,1.7,1.9,0.923,0.9,1.1,2,0.7,0.4,0.4,0.3,1.1,6.1,0,0,0,0,0,0,0,0,0,0
2021,Tim Frazier,PG,30,MEM,5,0,12.4,0.6,4,0.15,0,1.6,0,0.6,2.4,0.25,0.15,0.4,1.2,0.333,0,1.6,1.6,3.2,0.4,0.2,0.8,1.4,1.6,0,0,0,0,0,0,0,0,0,0
2021,Enes Freedom,C,28,POR,72,35,24.4,4.7,7.8,0.604,0,0.1,0.25,4.7,7.7,0.607,0.605,1.8,2.3,0.774,3.9,7.1,11,1.2,0.5,0.7,1.1,2.3,11.2,0,0,0,0,0,0,0,0,0,0
2021,Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9,0,0,0,0,0,0,0,0,0,0
2021,Wenyen Gabriel,PF,23,NOP,21,0,11.5,1.1,2.9,0.4,0.6,1.5,0.406,0.5,1.3,0.393,0.508,0.5,0.8,0.647,1,1.6,2.6,0.5,0.4,0.4,0.7,1.5,3.4,0,0,0,0,0,0,0,0,0,0
2021,Daniel Gafford,PF,22,CHI,31,11,12.4,1.9,2.8,0.69,0,0,,1.9,2.8,0.69,0.69,0.9,1.3,0.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7,0,0,0,0,0,0,0,0,0,0
2021,Daniel Gafford,C,22,WAS,23,0,17.7,4.1,6,0.681,0,0,,4.1,6,0.681,0.681,2,2.9,0.672,2.2,3.4,5.6,0.5,0.7,1.8,0.8,1.9,10.1,0,0,0,0,0,0,0,0,0,0
2021,Danilo Gallinari,PF,32,ATL,51,4,24,4,9.3,0.434,2,5,0.406,2,4.3,0.466,0.542,3.2,3.4,0.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13.3,0,0,0,0,0,0,0,0,0,0
2021,Langston Galloway,SG,29,PHO,40,0,11,1.7,3.7,0.449,0.9,2.1,0.424,0.8,1.6,0.484,0.571,0.6,0.6,0.957,0.2,0.9,1.1,0.7,0.2,0,0.3,0.6,4.8,0,0,0,0,0,0,0,0,0,0
2021,Darius Garland,PG,21,CLE,54,50,33.1,6.7,14.9,0.451,1.9,4.9,0.395,4.8,9.9,0.479,0.517,2.1,2.4,0.848,0.4,2,2.4,6.1,1.2,0.1,3,2,17.4,0,0,0,0,0,0,0,0,0,0
2021,Marc Gasol,C,36,LAL,52,42,19.1,1.7,3.7,0.454,1,2.3,0.41,0.7,1.4,0.528,0.582,0.7,1,0.72,0.7,3.4,4.1,2.1,0.5,1.1,1,2.2,5,0,0,0,0,0,0,0,0,0,0
2021,Rudy Gay,PF,34,SAS,63,1,21.6,4.2,10,0.42,1.7,4.4,0.381,2.5,5.6,0.451,0.505,1.3,1.6,0.804,0.7,4.1,4.8,1.4,0.7,0.6,1,1.8,11.4,0,0,0,0,0,0,0,0,0,0
2021,Paul George,SF,30,LAC,54,54,33.7,8.2,17.6,0.467,3.2,7.7,0.411,5.1,9.9,0.51,0.557,3.7,4.2,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3,0,0,1,0,0,0,0,0,1,3
2021,Taj Gibson,C,35,NYK,45,3,20.8,2.2,3.5,0.627,0.1,0.3,0.2,2.1,3.2,0.671,0.636,0.9,1.2,0.727,2.2,3.4,5.6,0.8,0.7,1.1,0.5,2.2,5.4,0,0,0,0,0,0,0,0,0,0
2021,Harry Giles,C,22,POR,38,0,9.2,1.1,2.6,0.433,0.2,0.6,0.348,0.9,1.9,0.459,0.474,0.4,0.7,0.593,0.8,2.7,3.5,0.8,0.2,0.3,0.5,1.4,2.8,0,0,0,0,0,0,0,0,0,0
2021,Shai Gilgeous-Alexander,SG,22,OKC,35,35,33.7,8.2,16.1,0.508,2,4.9,0.418,6.2,11.3,0.547,0.571,5.3,6.5,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3,2,23.7,0,0,0,0,0,0,0,0,0,0
2021,Anthony Gill,PF,28,WAS,26,4,8.4,1.2,2.3,0.5,0.3,0.9,0.292,0.9,1.4,0.639,0.558,0.5,0.6,0.813,0.6,1.3,2,0.4,0.4,0.2,0.3,1,3.1,0,0,0,0,0,0,0,0,0,0
2021,Freddie Gillespie,PF,23,TOR,20,2,19.6,2.2,4.2,0.524,0,0,,2.2,4.2,0.524,0.524,1.2,1.7,0.697,2.1,2.8,4.9,0.5,0.7,1,0.6,2.2,5.6,0,0,0,0,0,0,0,0,0,0
2021,Rudy Gobert,C,28,UTA,71,71,30.8,5.5,8.2,0.675,0,0.1,0,5.5,8.1,0.68,0.675,3.3,5.3,0.623,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3,0,0,1,1,0,0,0,0,1,3
2021,Brandon Goodwin,PG,25,ATL,47,5,13.2,1.8,4.7,0.377,0.7,2.2,0.311,1.1,2.6,0.433,0.448,0.6,0.9,0.651,0.2,1.3,1.5,2,0.4,0,0.8,0.9,4.9,0,0,0,0,0,0,0,0,0,0
2021,Aaron Gordon,PF,25,ORL,25,25,29.4,5.1,11.7,0.437,1.7,4.5,0.375,3.4,7.2,0.475,0.509,2.6,4.2,0.629,1.6,5.1,6.6,4.2,0.6,0.8,2.7,2,14.6,0,0,0,0,0,0,0,0,0,0
2021,Aaron Gordon,PF,25,DEN,25,25,25.9,4.1,8.2,0.5,0.7,2.6,0.266,3.4,5.7,0.606,0.541,1.2,1.8,0.705,1.5,3.2,4.7,2.2,0.7,0.6,1.2,1.6,10.2,0,0,0,0,0,0,0,0,0,0
2021,Eric Gordon,SG,32,HOU,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,0.527,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,0,0,0,0,0,0,0,0,0,0
2021,Devonte' Graham,PG,25,CHO,55,44,30.2,4.6,12.2,0.377,3.3,8.7,0.375,1.3,3.5,0.38,0.51,2.4,2.9,0.842,0.4,2.3,2.7,5.4,0.9,0.1,1.5,1.4,14.8,0,0,0,0,0,0,0,0,0,0
2021,Jerami Grant,SF,26,DET,54,54,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.3,11.2,0.473,0.491,5.4,6.4,0.845,0.6,4,4.6,2.8,0.6,1.1,2,2.3,22.3,0,0,0,0,0,0,0,0,0,0
2021,Danny Green,SF,33,PHI,69,69,28,3.2,7.9,0.412,2.5,6.3,0.405,0.7,1.6,0.438,0.573,0.4,0.6,0.775,0.8,3,3.8,1.7,1.3,0.8,1,1.8,9.5,0,0,0,0,0,0,0,0,0,0
